[41, 5, 37, 20, 30, 42]
[3, 13, 26, 8, 34, 2]
[21, 38, 6, 33, 18, 17]
[26, 2, 31, 12, 28, 16]
[1, 15, 32, 37, 26, 33]
[24, 19, 45, 4, 36, 26]
[20, 22, 15, 16, 6, 39]
[34, 42, 40, 18, 8, 36]
[21, 31, 8, 9, 13, 4]
[37, 10, 28, 23, 1, 19]
[24, 9, 39, 11, 3, 26]
[22, 23, 1, 8, 30, 4]
[12, 24, 9, 5, 31, 8]
[17, 39, 45, 3, 29, 2]
[14, 17, 10, 20, 2, 19]
[11, 28, 31, 30, 44, 13]
[26, 42, 18, 19, 22, 36]
[1, 43, 30, 10, 16, 26]
[40, 9, 41, 23, 1, 33]
[43, 23, 3, 29, 36, 27]
[10, 20, 28, 22, 25, 39]
[33, 29, 11, 39, 32, 4]
[20, 15, 26, 16, 29, 6]
[10, 15, 8, 37, 1, 43]
[13, 27, 18, 12, 44, 30]
[6, 8, 27, 9, 4, 35]
[19, 20, 30, 44, 10, 32]
[1, 36, 27, 37, 7, 24]
[32, 39, 8, 27, 1, 41]
[23, 22, 9, 29, 20, 18]
[44, 13, 21, 29, 43, 35]
[31, 40, 18, 3, 17, 1]
[44, 43, 23, 9, 12, 17]
[8, 39, 15, 33, 7, 44]
[6, 41, 35, 1, 37, 7]
[18, 3, 9, 36, 33, 41]
[3, 28, 4, 37, 31, 6]
[16, 19, 28, 18, 9, 2]
[6, 18, 22, 32, 17, 41]
[32, 43, 4, 33, 17, 6]
[25, 41, 40, 34, 38, 26]
[19, 33, 4, 21, 13, 44]
[42, 27, 45, 14, 17, 33]
[20, 39, 22, 3, 40, 32]
[31, 37, 15, 8, 10, 36]
[42, 22, 29, 18, 25, 16]
[7, 25, 41, 44, 16, 3]
[18, 39, 23, 27, 44, 28]
[19, 5, 7, 33, 34, 32]
[13, 26, 4, 44, 16, 37]
[10, 17, 38, 13, 35, 32]
[1, 5, 15, 29, 27, 20]
[29, 34, 15, 35, 43, 10]
[5, 30, 44, 35, 6, 41]
[40, 44, 6, 5, 45, 28]
[42, 12, 22, 21, 23, 11]
[16, 36, 29, 40, 2, 33]
[44, 41, 14, 22, 19, 20]
[9, 21, 6, 38, 37, 15]
[39, 21, 41, 37, 3, 42]
[41, 42, 33, 45, 11, 9]
[4, 21, 26, 7, 39, 16]
[19, 18, 37, 11, 23, 20]
[16, 45, 4, 18, 9, 19]
[33, 26, 2, 39, 44, 22]
[20, 4, 32, 30, 7, 35]
[8, 3, 44, 16, 15, 18]
[34, 45, 32, 20, 5, 41]
[18, 6, 8, 40, 11, 24]
[2, 34, 11, 39, 7, 38]
[40, 33, 31, 10, 37, 24]
[30, 28, 19, 1, 32, 10]
[4, 27, 6, 11, 42, 22]
[43, 37, 21, 24, 1, 4]
[10, 31, 32, 39, 42, 15]
[27, 42, 11, 35, 43, 36]
[29, 13, 25, 16, 41, 8]
[29, 24, 43, 41, 26, 34]
[29, 1, 35, 30, 36, 26]
[32, 39, 14, 26, 45, 9]
